Age,Cause,Date,Employed at,Employeed (Y/N),Fatalities,Gender,Incident Area,Injured,Latitude,Location,Longitude,Mental Health Issues,Open/Close Location,Policeman Killed,Race,State,Summary,Target,Title,Total victims
,,2016-04-19,,,1,Unknown,in a park,4,41.878114000000004,"Union League Club, 65, West Jackson Boulevard, Loop, Chicago, Cook County, Illinois, 60611, United States of America",-87.629798,Unknown,Open,0.0,Unknown,Illinois,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,random,Chicago Rap video Shootout,5
,domestic dispute,2016-04-19,,,4,Male,Home,0,29.785784999999997,"Highway Boulevard, Katy, Fort Bend County, Texas, 77494, United States of America",-95.824396,Unknown,Close,0.0,White American or European American,Texas,Man killed his wife and two young children before committing suicide. No explanation has been offered,Family,Texas family murder-suicide,4
,,2016-04-19,,,1,Male,along a highway ,4,34.162040000000005,"US 278, Brooksville, Blount County, Alabama, 35031, United States of America",-86.475543,Yes,Open,0.0,White American or European American,Alabama,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",random,Alabama highway random shooting,4
,terrorism,2016-04-18,,,0,Unknown,at street corner,3,33.77005,"Ignify, Pacific Avenue, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America",-118.193739,Unknown,Open,0.0,Unknown,California,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",random,Long Beach Street murder,4
,anger,2016-04-09,,,0,Male,at party,4,35.085334,"Amherst Drive Northeast, Nob Hill, Kirtland Addition, ABQ, Bernalillo County, New Mexico, 87112, United States of America",-106.605553,Unknown,Close,0.0,White American or European American,New Mexico,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,uninvited guests,"Albuquerque, NM House party shooting",4
,anger,2016-04-09,,,0,Unknown,at gas station,4,35.149534,"Shelby County Office Building, North 2nd Street, Memphis, Shelby County, Tennessee, 38107, United States of America",-90.04898,Unknown,Open,0.0,Unknown,Tennessee,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,random,"Memphis, TN gas station shooting",4
,,2016-04-07,,,0,Unknown,south shore,5,41.878114000000004,"Union League Club, 65, West Jackson Boulevard, Loop, Chicago, Cook County, Illinois, 60611, United States of America",-87.629798,Unknown,Open,0.0,Unknown,Illinois,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects. ,birthday party bus,Chicago Birthday Party Bus Shooting,5
,,2016-04-01,,,3,Male,restaurant,1,35.085334,"Amherst Drive Northeast, Nob Hill, Kirtland Addition, ABQ, Bernalillo County, New Mexico, 87112, United States of America",-106.605553,Unknown,Close,0.0,Asian American,New Mexico,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,Family,"Albuquerque, NM Family restaurant shooting",3
,frustration,2016-03-31,,,2,Male,bus station,2,37.540725,"Richmond, Virginia",-77.436048,Unknown,Open,0.0,Black American or African American,Virginia,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooperÃÂÃÂs immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",Trooper,"Richmond, Virginia",3
,terrorism,2016-03-26,,,3,Male,,0,36.09903900000001,"Louisburg, North Carolina",-78.301106,Unknown,,,Black American or African American,North Carolina,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday ÃÂÃÂ the day before the shootings.",,"Louisburg, North Carolina",3
,domestic dispute,2016-03-25,,,2,Male,in home,2,35.242302,"Lawrenceburg, Tennessee",-87.334739,Unknown,Close,0.0,Unknown,Tennessee,The man was suspected of shooting his wife and two sons on Friday morning at the familyÃÂÃÂs home. All three victims were initially shot inside the residence with a shotgun.,Family,"Lawrenceburg, Tennessee",3
,domestic dispute,2016-03-25,,,2,Male,home in rural Alabama,2,34.759257,"Thornhill Road Northwest, Huntsville, Madison County, Alabama, 35810, United States of America",-86.60249300000002,Yes,Close,0.0,White American or European American,Alabama,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",Family,"Greenhill, AL Family murder-suicide",3
,domestic dispute,2016-03-21,,,4,Male,,0,33.635661999999996,"Sherman, Texas ",-96.60888,Unknown,,0.0,Unknown,Texas,"A man shot and killed his wife and two boys, then he turned the gun on himself.",Family,"Sherman, Texas Family Murder-Suicide",3
,domestic dispute,2016-03-20,Military,1.0,4,Male,Home,0,38.252665,"Louisville, Kentucky",-85.75845600000002,Yes,Close,0.0,White American or European American,Kentucky,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,Family,"Louisville, KY Family Murder-Suicide",3
,,2016-03-19,,,1,Unknown,Home,4,26.127585999999997,"Plantation, Florida",-80.233104,Unknown,Close,0.0,Unknown,Florida,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,party guests,"Plantation, Florida",5
,terrorism,2016-03-19,,,2,Male,"drive-by in Wetumpka, Alabama",2,32.543745,"Wetumpka, Alabama",-86.211913,Unknown,Open,0.0,Black American or African American,Alabama,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",random,Wetumpka Drive-by,4
,anger,2016-03-15,,,0,Unknown,outside nightclub,4,33.748995,"Georgia State Capitol, Capitol Avenue Southeast, Five Points, Virginia Highland, Atlanta, Fulton County, Georgia, 30312, United States of America",-84.387982,Unknown,Open,0.0,Unknown,Georgia,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,random,Atlanta Nightclub shooting,4
,,2016-03-13,,,0,Unknown,,4,26.640628000000003,"Lee County Annex (SunTrust Building), Main Street, River District, Fort Myers, Lee County, Florida, 33901, United States of America",-81.87230799999998,Unknown,,0.0,Unknown,Florida,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",Family,Florida Family celebration ends in shooting,4
,domestic dispute,2016-03-12,,,2,Male,,2,34.111222999999995,"North Oliver Street, Elberton, Elbert County, Georgia, 30635, United States of America",-82.86708399999998,Unknown,Open,0.0,Unknown,Georgia,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",Family,"Elberton, Georgia murder-suicide",3
,,2016-03-11,,,0,Unknown,"outside of an apartment complex in Trenton, NJ",5,40.217053,"Chambers Street, Trenton, Mercer County, New Jersey, 08610, United States of America",-74.742938,Unknown,Open,0.0,Unknown,New Jersey,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",random,"Trenton, NJ sidewalk shooting",5
,,2016-03-11,,,2,Unknown,,2,42.33142700000001,"Central Kitchen + Bar, 660, Woodward Avenue, Detroit, Wayne County, Michigan, 48226, United States of America",-83.045754,Unknown,Open,0.0,Unknown,Michigan,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,random,Detroit Drive-by,4
,terrorism,2016-03-09,,,6,Male,backyard of a house,3,40.440625,"Pittsburgh, Pennsylvania",-79.995886,Unknown,Open,0.0,Unknown,Pennsylvania,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the womanÃÂÃÂs 8-month-old fetus a homicide and raised the number of fatalities to six.",random,"Pittsburgh, Pennsylvania",9
,terrorism,2016-03-09,,,5,Male,backyard of a house,3,40.441736,"Saint Mark African Methodist Episcopal Zion Church, Stoner Way, Hamnett Place, Wilkinsburg, Allegheny County, Pennsylvania, 15221, United States of America",-79.88199399999998,Unknown,Open,0.0,Unknown,Pennsylvania,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",random,Wilkinsburg BBQ cookout shootout,8
,,2016-03-07,,,5,Male,Home,0,39.11405300000001,"Kansas City, Kansas",-94.627464,Unknown,Close,0.0,Some other race,Kansas,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",neighbors,"Kansas City, Kansas",5
,,2016-03-07,,,0,Unknown,drive-by on MLK boulevard in Lafayette,4,30.224090000000004,"AcA, 101, West Vermilion Street, Lafayette, Lafayette Parish, Louisiana, 70501, United States of America",-92.01984300000001,Unknown,Open,0.0,Unknown,Louisiana,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads. ",random,"Lafayette, LA drive by",4
,,2016-03-07,,,4,Male,Home,0,39.11405300000001,"Kansas City Juvenile Court, Ann Avenue, Strawberry Hill, Kansas City, Wyandotte County, Kansas, 66102, United States of America",-94.627464,Unknown,Close,0.0,Some other race,Kansas,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",neighbors,Kansas City Home Invasion,4
,terrorism,2016-03-06,,,1,Male,apartment in Chelsea,6,42.391764,"Chelsea, Massachusetts",-71.03282800000002,Unknown,Close,0.0,Some other race,Massachusetts,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",party guests,"Chelsea, MA empty apartment party shooting",7
,anger,2016-03-06,,,0,Male,,4,34.023243,"Shell, North Atlanta Street, Roswell, Fulton County, Georgia, 30075, United States of America",-84.36155600000002,Unknown,Open,0.0,Black American or African American,Georgia,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",random,"Roswell, GA Hookah shootout",4
,anger,2016-03-05,,,0,Unknown,outside the club,4,37.687176,"North Santa Fe Avenue, Wichita, Sedgwick County, Kansas, 67202, United States of America",-97.330053,Unknown,Open,0.0,Unknown,Kansas,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured. ,random,Wichita Nightclub shooting,4
,anger,2016-02-28,,,0,Male,outside the club,5,42.33142700000001,"Central Kitchen + Bar, 660, Woodward Avenue, Detroit, Wayne County, Michigan, 48226, United States of America",-83.045754,Unknown,Open,0.0,Black American or African American,Michigan,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",club members,Detroit Strip Club Shootout,5
,,2016-02-28,,,1,Male,restaurant parking,3,33.997197,"Van Buren Boulevard, Pedley, Bly, Riverside County, California, United States of America",-117.48548000000001,Unknown,Open,0.0,Some other race,California,Shooter fired upon group of people in a restaurant parking lot,random,Riverside restaurant shooting,4
,,2016-02-27,,,2,Male,outside the house,2,38.6697,"Woodbridge,  Virginia",-77.3524,Unknown,Open,3.0,Black American or African American,Virginia,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",random,"Woodbridge, Virginia",4
,domestic dispute,2016-02-26,,,5,Male,Home,0,47.5033,"Belfair, Washington",-122.931,Unknown,Close,0.0,White American or European American,Washington,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",Family,"Belfair, Washington",4
,,2016-02-25,manufacturing company,1.0,3,M,workplace,14,38.1383437,"Hesston, Kansas",-97.4314267,Unclear,Close,0.0,Black,Kansas,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",random,Excel Industries mass shooting,17
,psycho,2016-02-25,factory,1.0,4,Male,,14,38.1368,"Hesston, Kansas",-97.4268,Unknown,Open,0.0,Black American or African American,Kansas,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",random,"Hesston, Kansas",17
,psycho,2016-02-25,,,5,Male,Home,0,47.451459,"Northeast State Highway 300, Belfair, Mason County, Washington, United States of America",-122.82694599999999,Unknown,Close,0.0,White American or European American,Washington,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",Family,"Belfair, WA Family murder-suicide",4
,psycho,2016-02-23,,,5,Male,Home,0,33.448377,"Glendale, Arizona",-112.074037,Unknown,Close,0.0,White American or European American,Arizona,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,Family,Arizona Family Murder,4
,,2016-02-21,,,1,Male,interstate in Hazelwood,3,38.77144000000001,"Chapel Ridge Drive, Hazelwood, St. Louis County, Missouri, 63042, United States of America",-90.370949,Unknown,Open,0.0,Black American or African American,Missouri,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",random,Missouri Highway shooting,4
,,2016-02-21,,,0,Unknown,,5,29.760427000000004,"The Battle of Midway, West Walker Tunnel, Houston, Harris County, Texas, 77010, United States of America",-95.369803,Unknown,Open,0.0,Unknown,Texas,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",random,Houston Drive-by,5
,,2016-02-20,uber,1.0,6,M,restaurant parking,2,42.2494968,"Kalamazoo County, Michigan",-85.5372797,Unclear,Open,0.0,White,Michigan,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",random,Kalamazoo shooting spree,8
,domestic dispute,2016-02-20,,,2,Male,outside the house,3,34.7404,"Iuka, Mississippi",-88.1383,Unknown,Open,1.0,White American or European American,Mississippi,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",Policeman,"Iuka, Mississippi",4
,anger,2016-02-20,,,1,Unknown,hookah bar parking,3,27.950575,"Robert L. Timberlake Jr. Federal Building, 500, East Zack Street, Ridgewood Park, Ybor City, Tampa, Hillsborough County, Florida, 33602, United States of America",-82.457178,Unknown,Open,0.0,Unknown,Florida,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",random,Florida Hookah Bar Shooting,4
,,2016-02-20,uber,1.0,6,Male,,2,42.291707,"United States District Court, 410, West Michigan Avenue, Kalamazoo, Kalamazoo County, Michigan, 49007, United States of America",-85.58722900000002,No,Open,0.0,White American or European American,Michigan,An Uber driver fired upon people in three locations over the course of about 6 hours.,random,Kalamazoo Uber Driver Spree Killing,8
,,2016-02-19,,,2,Unknown,,2,38.104085999999995,"Vallejo Bible Church, Carolina Street, Vallejo, Solano County, California, 94590, United States of America",-122.25663700000001,Unknown,Open,0.0,Unknown,California,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",random,"Vallejo, CA car shooting",4
,psycho,2016-02-09,,,0,Male,outside gym,3,43.201126,"East Broadway Avenue, Muskegon Heights, Muskegon County, Michigan, 49444, United States of America",-86.238946,Unknown,Open,0.0,Black American or African American,Michigan,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",random,Michigan school shooting,3
,terrorism,2016-02-07,,,2,Male,nightclub,10,28.4541,"Orlando, Florida",-81.4646,Unknown,Close,0.0,Some other race,Florida,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,random,"Orlando, Florida",12
,anger,2016-02-07,,,1,Unknown,nightclub,7,43.16103,"Funk N' Waffles Music Hall, 204, North Water Street, Rochester, Monroe County, New York, 14604, United States of America",-77.610922,Unknown,Close,0.0,Unknown,New York,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",random,Nightclub fight turns into shootout,8
,,2016-02-06,,,2,Unknown,strip club,6,27.950575,"Robert L. Timberlake Jr. Federal Building, 500, East Zack Street, Ridgewood Park, Ybor City, Tampa, Hillsborough County, Florida, 33602, United States of America",-82.457178,Unknown,Close,0.0,Unknown,Florida,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",random,"Tampa, FL Strip club shooting",8
,,2016-02-06,,,1,Unknown,,3,34.05223400000001,"Main & 1st, 120, South Main Street, Toy District, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America",-118.24368500000001,Unknown,Open,0.0,Unknown,California,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",random,"Los Angeles, CA street shooting",4
,psycho,2016-02-06,,,4,Male,,0,29.20968400000001,"Uvalde County Courthouse, 100, North Getty Street, Uvalde, Uvalde County, Texas, 78801, United States of America",-99.786168,Unknown,Close,0.0,White American or European American,Texas,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,Family/Neighbors,Texas teen commits family murder suicide,3
,anger,2016-01-31,,,0,Male,gas station,3,29.951065999999997,"341, Carondelet Street, Vieux Carre Historic District, French Quarter, New Orleans, Orleans Parish, Louisiana, 70130, United States of America",-90.07153199999998,Unknown,Open,0.0,Black American or African American,Louisiana,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",random,New Orleans gas station shoot-out,3
,anger,2016-01-30,,,3,Male,Home,5,33.538652,"Glendale City Hall Parking Garage, North 59th Avenue, Glendale, Maricopa County, Arizona, 85301, United States of America",-112.18598700000001,Unknown,Close,0.0,Unknown,Arizona,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",random,"Glendale, AZ House Party shooting",8
42,psycho,2016-01-29,,,2,Male,,2,38.044556,"Danger Trail, Poorhouse Corner, Caroline County, Virginia, 22427, United States of America",-77.286488,Unknown,,0.0,Unknown,Virginia,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",Family,"Caroline County, VA Family Murder Suicide",3
,psycho,2016-01-27,,,6,Male,Home,0,36.7921,"Chesapeake, Virginia",-76.3293,Yes,Close,0.0,White American or European American,Virginia,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",Family,"Chesapeake, Virginia",5
,,2016-01-25,,,1,Male,restaurant,4,33.782519,"The Perris Depot, West 4th Street, Perris, Riverside County, California, 92571, United States of America",-117.22864799999999,Unknown,Close,0.0,Unknown,California,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,random,"Perris, CA Mexican restaurant shooting",5
,,2016-01-23,,,3,Male,,0,30.754181,"Martin Luther King Jr Avenue, Crestview, Okaloosa County, Florida, 32536, United States of America",-86.572799,Unknown,,0.0,White American or European American,Florida,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",Family,Florida family murder,3
,terrorism,2016-01-23,,,2,Unknown,outside of liquor store,2,34.05223400000001,"Main & 1st, 120, South Main Street, Toy District, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America",-118.24368500000001,Unknown,Open,0.0,Unknown,California,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",random,Los Angeles Drive-by,4
,,2016-01-17,,,1,Male,Home,3,37.40264000000001,"Dunham Massie Lane, Ware Neck, Gloucester County, Virginia, 23178, United States of America",-76.458559,Unknown,Close,0.0,Black American or African American,Virginia,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",party guests,"Gloucester County, VA, House Party",4
